EVENT,DESCRIPTION,FROM_URL,DATE,TIMES,IMAGE,RESERVATION_URL
We Were Promised Jetpacks,Hurry Up,https://www.930.com/event/1726904-we-were-promised-jetpacks-washington/,Tue 23 Oct,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/31-og(1).jpg,https://www.ticketfly.com/purchase/event/1726904
Hippo Campus,The Districts,https://www.930.com/event/1710259-hippo-campus-washington/,Wed 24 Oct,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/15-og(1).jpg,Not Found
Twiddle,Bumpin' Uglies,https://www.930.com/event/1734504-twiddle-washington/,Fri 26 Oct,"
  Doors: 8:00 pm",https://www.930.com/9_30_files/50-og(1).jpg,https://www.ticketfly.com/purchase/event/1734504
Moon Taxi,Moon Hooch,https://www.930.com/event/1736415-moon-taxi-washington/,Sat 27 Oct,"
  Doors: 6:00 pm",https://www.930.com/9_30_files/28-og.jpg,https://www.ticketfly.com/purchase/event/1736415
Moon Taxi - Two Night Pass,Moon Hooch,https://www.930.com/event/1736426-moon-taxi-two-night-pass-washington/,Sat 27 Oct,"
  Doors: 6:00 pm",https://www.930.com/9_30_files/28-og.jpg,https://www.ticketfly.com/purchase/event/1736426
Twiddle,,https://www.930.com/event/1734506-twiddle-washington/,Sat 27 Oct,"
  Doors: 10:30 pm",https://www.930.com/9_30_files/50-og(1).jpg,https://www.ticketfly.com/purchase/event/1734506
Moon Taxi,Moon Hooch,https://www.930.com/event/1736421-moon-taxi-washington/,Sun 28 Oct,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/28-og.jpg,https://www.ticketfly.com/purchase/event/1736421
Jain,Drama,https://www.930.com/event/1711634-jain-washington/,Mon 29 Oct,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/44-og.jpg,https://www.ticketfly.com/purchase/event/1711634
Jake Shears,"(of Scissor Sisters), SSION, Sammy Jo",https://www.930.com/event/1744706-jake-shears-washington/,Wed 31 Oct,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/71-og(1).jpg,https://www.ticketfly.com/purchase/event/1744706
Soulection’s The Sound of Tomorrow,"featuring Andre Power, Joe Kay, Devin Tracy, J. Robb, and Andres Uribe",https://www.930.com/event/1721988-soulection-s-sound-tomorrow-washington/,Thu 01 Nov,"
  Doors: 7:00 pm",https://www.930.com/9_30_files/83-og.jpeg,https://www.ticketfly.com/purchase/event/1721988
